user_id,qualification,year,skills,skill_proficiency,subjects,certifications,interests,preferred_domain,past_projects
U001,Diploma,1,Firebase|React|PyTorch|SQL|Computer Vision|Azure|Django|Kubernetes,"{""Firebase"": 3, ""React"": 2, ""PyTorch"": 2, ""SQL"": 1, ""Computer Vision"": 5, ""Azure"": 1, ""Django"": 5, ""Kubernetes"": 4}",Algorithms|DBMS|Advanced Mathematics|Software Engineering|Machine Learning,Cert_4,Open Source,AI/ML,None
U002,B.Sc,4,Azure|R|Arduino,"{""Azure"": 2, ""R"": 4, ""Arduino"": 2}",Artificial Intelligence|DBMS|Machine Learning|Algorithms,Cert_9,Open Source|Programming|Hackathons|Product Development,Mobile App Dev,Project_6
U003,BCA,1,React Native|C++|PowerBI|HTML|Cryptography,"{""React Native"": 1, ""C++"": 2, ""PowerBI"": 1, ""HTML"": 3, ""Cryptography"": 2}",Advanced Mathematics|Algorithms|Artificial Intelligence|Cryptography,Cert_4,Hackathons|Programming|Research|Competitive Programming,Cloud Computing,None
U004,M.Tech,2,Java|Python|Docker|Swift,"{""Java"": 5, ""Python"": 3, ""Docker"": 3, ""Swift"": 3}",Cryptography|Software Engineering|Advanced Mathematics|Operating Systems,Cert_6,Research|Product Development|Hackathons|Open Source,IoT,None
U005,Diploma,1,JavaScript|Kotlin|SQL|Statistics|R|Linux|Java|NLP,"{""JavaScript"": 5, ""Kotlin"": 4, ""SQL"": 5, ""Statistics"": 5, ""R"": 4, ""Linux"": 4, ""Java"": 3, ""NLP"": 3}",Cryptography|Software Engineering|Advanced Mathematics,Cert_2,Competitive Programming|Open Source|Programming,AI/ML,Project_18
U006,Diploma,3,TensorFlow|React Native|Kotlin|Networking|React,"{""TensorFlow"": 4, ""React Native"": 3, ""Kotlin"": 5, ""Networking"": 2, ""React"": 5}",Machine Learning|Data Structures|Operating Systems|Artificial Intelligence,Cert_7,Hackathons|Research|Programming|Open Source,Cybersecurity,Project_3
U007,MCA,1,Azure|Firebase|Computer Vision|C++|TensorFlow|Node.js|Scikit-Learn,"{""Azure"": 3, ""Firebase"": 3, ""Computer Vision"": 5, ""C++"": 4, ""TensorFlow"": 1, ""Node.js"": 2, ""Scikit-Learn"": 2}",Advanced Mathematics|Algorithms|Machine Learning,Cert_1,Open Source|Product Development|Programming|Research,Cloud Computing,None
U008,Diploma,3,PowerBI|Azure|SQL|PyTorch|CSS|React Native,"{""PowerBI"": 5, ""Azure"": 3, ""SQL"": 5, ""PyTorch"": 3, ""CSS"": 2, ""React Native"": 2}",Algorithms|Software Engineering|Machine Learning|Data Structures|Data Science,Cert_9,Programming|Competitive Programming|Hackathons,Web Development,None
U009,B.Sc,2,Computer Vision|Dart|Cryptography|React|HTML|Scikit-Learn|Python|PyTorch,"{""Computer Vision"": 5, ""Dart"": 4, ""Cryptography"": 1, ""React"": 1, ""HTML"": 5, ""Scikit-Learn"": 1, ""Python"": 3, ""PyTorch"": 3}",Data Structures|Advanced Mathematics|Artificial Intelligence|Cryptography,Cert_7,Research,Web Development,None
U010,MCA,1,Swift|HTML|Kubernetes|Node.js,"{""Swift"": 3, ""HTML"": 1, ""Kubernetes"": 5, ""Node.js"": 3}",Advanced Mathematics|Algorithms|Operating Systems|Cryptography,Cert_5,Programming|Research|Product Development,Data Science,None
U011,B.Tech,1,Python|Flutter|GCP|Django,"{""Python"": 1, ""Flutter"": 5, ""GCP"": 4, ""Django"": 2}",Data Science|Software Engineering,Cert_1,Programming|Product Development,Mobile App Dev,None
U012,B.Tech,3,Pandas|GCP|Arduino|Statistics|Kubernetes|Express,"{""Pandas"": 3, ""GCP"": 1, ""Arduino"": 3, ""Statistics"": 1, ""Kubernetes"": 5, ""Express"": 1}",Data Science|Operating Systems|Software Engineering|Artificial Intelligence,Cert_8,Competitive Programming|Open Source|Programming,Web Development,Project_6
U013,M.E,1,Bash|Node.js|Scikit-Learn|NLP|Django|Networking|Java,"{""Bash"": 4, ""Node.js"": 4, ""Scikit-Learn"": 3, ""NLP"": 1, ""Django"": 3, ""Networking"": 3, ""Java"": 1}",Algorithms|Software Engineering,Cert_3,Competitive Programming|Programming|Research|Product Development,Data Science,Project_15
